time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	0	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	3.6977	2.15259	13.9372	4.7469	13.5608	radar	53.3636	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.34492	0.54692	3.30477	5.65468	6.15957	lidar	23.5985	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.71944	0.491107	6.64633	10.4322	37.2385	radar	58.7438	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.70035	0.513151	3.82428	12.5963	38.8616	lidar	1.62041	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.88501	0.441576	0.246798	9.66983	9.86005	radar	64.549	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	1.98372	0.495678	-0.334052	10.1736	9.42057	lidar	4.31374	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	1.83378	0.497622	2.05261	15.4457	33.5902	radar	113.463	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.07574	0.648095	-0.627227	17.2382	34.3266	lidar	23.1409	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.11204	0.498864	-0.34308	21.3473	43.5893	radar	188.309	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	2.30175	0.620359	-1.28228	23.699	44.1616	lidar	28.2493	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	2.3641	0.616228	1.92214	21.2529	30.0699	radar	148.04	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	2.51153	0.63875	1.20206	23.3826	31.6406	lidar	103.104	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	2.78692	0.474827	-0.941354	29.7503	43.1267	radar	182.089	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	2.9355	0.513711	-0.759809	31.9876	43.2065	lidar	95.0942	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	2.8043	0.654894	2.15236	28.6441	32.0236	radar	231.283	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	3.06233	0.591594	1.35085	31.4954	34.2665	lidar	95.2588	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	3.01918	0.661337	3.2945	29.8624	28.2824	radar	144.663	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	3.47616	0.614519	3.70046	32.1712	29.6809	lidar	218.442	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	3.6993	0.542959	5.0148	30.7891	24.9673	radar	249.778	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	4.21843	0.495584	6.22835	31.8949	24.7646	lidar	169.44	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	4.89244	0.136176	6.65445	31.4579	22.1901	radar	192.552	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	5.41176	0.332393	7.64266	32.5029	22.1887	lidar	66.7973	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	5.98645	0.321858	7.71382	32.8118	20.8334	radar	304.773	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.26899	0.600409	8.02443	33.5204	20.3625	lidar	21.2217	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	6.2109	0.787746	7.90525	34.2796	19.9305	radar	367.541	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444300000	6.25474	0.862795	7.80381	34.8643	19.3403	lidar	51.8207	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
1477010444350000	5.86927	0.295028	8.27666	36.3691	20.5794	radar	397.669	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
1477010444400000	6.31738	0.0638567	8.47733	37.3175	20.7398	lidar	130.855	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
1477010444450000	6.76886	0.0955244	8.41066	38.0532	20.2445	radar	206.953	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915
